time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-04-24T08:46:17
02.04.2020;77;2020-04-24T08:46:17
03.04.2020;74;2020-04-24T08:46:17
04.04.2020;75;2020-04-24T08:46:17
05.04.2020;76;2020-04-24T08:46:17
06.04.2020;76;2020-04-24T08:46:17
07.04.2020;79;2020-04-24T08:46:17
08.04.2020;79;2020-04-24T08:46:17
09.04.2020;79;2020-04-24T08:46:17
10.04.2020;79;2020-04-24T08:46:17
11.04.2020;78;2020-04-24T08:46:17
12.04.2020;78;2020-04-24T08:46:17
13.04.2020;81;2020-04-24T08:46:17
14.04.2020;80;2020-04-24T08:46:17
15.04.2020;80;2020-04-24T08:46:17
16.04.2020;79;2020-04-24T08:46:17
17.04.2020;81;2020-04-24T08:46:17
18.04.2020;82;2020-04-24T08:46:17
19.04.2020;84;2020-04-24T08:46:17
20.04.2020;83;2020-04-24T08:46:17
21.04.2020;83;2020-04-24T08:46:17
22.04.2020;86;2020-04-24T08:46:17
23.04.2020;85;2020-04-24T08:46:17
24.04.2020;87;2020-04-24T08:46:17
