time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-04-25T09:19:19
02.04.2020;77;2020-04-25T09:19:19
03.04.2020;74;2020-04-25T09:19:19
04.04.2020;75;2020-04-25T09:19:19
05.04.2020;76;2020-04-25T09:19:19
06.04.2020;76;2020-04-25T09:19:19
07.04.2020;79;2020-04-25T09:19:19
08.04.2020;79;2020-04-25T09:19:19
09.04.2020;79;2020-04-25T09:19:19
10.04.2020;79;2020-04-25T09:19:19
11.04.2020;78;2020-04-25T09:19:19
12.04.2020;78;2020-04-25T09:19:19
13.04.2020;81;2020-04-25T09:19:19
14.04.2020;80;2020-04-25T09:19:19
15.04.2020;80;2020-04-25T09:19:19
16.04.2020;79;2020-04-25T09:19:19
17.04.2020;81;2020-04-25T09:19:19
18.04.2020;82;2020-04-25T09:19:19
19.04.2020;84;2020-04-25T09:19:19
20.04.2020;83;2020-04-25T09:19:19
21.04.2020;83;2020-04-25T09:19:19
22.04.2020;86;2020-04-25T09:19:19
23.04.2020;85;2020-04-25T09:19:19
24.04.2020;87;2020-04-25T09:19:19
25.04.2020;88;2020-04-25T09:19:19
