time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-04-17T11:36:51
02.04.2020;23;2020-04-17T11:36:51
03.04.2020;26;2020-04-17T11:36:51
04.04.2020;25;2020-04-17T11:36:51
05.04.2020;24;2020-04-17T11:36:51
06.04.2020;24;2020-04-17T11:36:51
07.04.2020;21;2020-04-17T11:36:51
08.04.2020;21;2020-04-17T11:36:51
09.04.2020;21;2020-04-17T11:36:51
10.04.2020;21;2020-04-17T11:36:51
11.04.2020;22;2020-04-17T11:36:51
12.04.2020;22;2020-04-17T11:36:51
13.04.2020;19;2020-04-17T11:36:51
14.04.2020;20;2020-04-17T11:36:51
15.04.2020;20;2020-04-17T11:36:51
16.04.2020;21;2020-04-17T11:36:51
17.04.2020;19;2020-04-17T11:36:51
