time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-05-04T10:24:21
02.04.2020;77;2020-05-04T10:24:21
03.04.2020;74;2020-05-04T10:24:21
04.04.2020;75;2020-05-04T10:24:21
05.04.2020;76;2020-05-04T10:24:21
06.04.2020;76;2020-05-04T10:24:21
07.04.2020;79;2020-05-04T10:24:21
08.04.2020;79;2020-05-04T10:24:21
09.04.2020;79;2020-05-04T10:24:21
10.04.2020;79;2020-05-04T10:24:21
11.04.2020;78;2020-05-04T10:24:21
12.04.2020;78;2020-05-04T10:24:21
13.04.2020;81;2020-05-04T10:24:21
14.04.2020;80;2020-05-04T10:24:21
15.04.2020;80;2020-05-04T10:24:21
16.04.2020;79;2020-05-04T10:24:21
17.04.2020;81;2020-05-04T10:24:21
18.04.2020;82;2020-05-04T10:24:21
19.04.2020;84;2020-05-04T10:24:21
20.04.2020;83;2020-05-04T10:24:21
21.04.2020;83;2020-05-04T10:24:21
22.04.2020;86;2020-05-04T10:24:21
23.04.2020;85;2020-05-04T10:24:21
24.04.2020;87;2020-05-04T10:24:21
25.04.2020;88;2020-05-04T10:24:21
26.04.2020;88;2020-05-04T10:24:21
27.04.2020;88;2020-05-04T10:24:21
28.04.2020;89;2020-05-04T10:24:21
29.04.2020;89;2020-05-04T10:24:21
30.04.2020;89;2020-05-04T10:24:21
01.05.2020;89;2020-05-04T10:24:21
02.05.2020;90;2020-05-04T10:24:21
03.05.2020;90;2020-05-04T10:24:21
04.05.2020;90;2020-05-04T10:24:21
