time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-05-07T09:30:01
02.04.2020;23;2020-05-07T09:30:01
03.04.2020;26;2020-05-07T09:30:01
04.04.2020;25;2020-05-07T09:30:01
05.04.2020;24;2020-05-07T09:30:01
06.04.2020;24;2020-05-07T09:30:01
07.04.2020;21;2020-05-07T09:30:01
08.04.2020;21;2020-05-07T09:30:01
09.04.2020;21;2020-05-07T09:30:01
10.04.2020;21;2020-05-07T09:30:01
11.04.2020;22;2020-05-07T09:30:01
12.04.2020;22;2020-05-07T09:30:01
13.04.2020;19;2020-05-07T09:30:01
14.04.2020;20;2020-05-07T09:30:01
15.04.2020;20;2020-05-07T09:30:01
16.04.2020;21;2020-05-07T09:30:01
17.04.2020;19;2020-05-07T09:30:01
18.04.2020;18;2020-05-07T09:30:01
19.04.2020;16;2020-05-07T09:30:01
20.04.2020;17;2020-05-07T09:30:01
21.04.2020;17;2020-05-07T09:30:01
22.04.2020;14;2020-05-07T09:30:01
23.04.2020;15;2020-05-07T09:30:01
24.04.2020;13;2020-05-07T09:30:01
25.04.2020;12;2020-05-07T09:30:01
26.04.2020;12;2020-05-07T09:30:01
27.04.2020;12;2020-05-07T09:30:01
28.04.2020;11;2020-05-07T09:30:01
29.04.2020;11;2020-05-07T09:30:01
30.04.2020;11;2020-05-07T09:30:01
01.05.2020;11;2020-05-07T09:30:01
02.05.2020;10;2020-05-07T09:30:01
03.05.2020;10;2020-05-07T09:30:01
04.05.2020;10;2020-05-07T09:30:01
05.05.2020;9;2020-05-07T09:30:01
06.05.2020;9;2020-05-07T09:30:01
07.05.2020;8;2020-05-07T09:30:01
