time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-05-05T09:36:54
02.04.2020;77;2020-05-05T09:36:54
03.04.2020;74;2020-05-05T09:36:54
04.04.2020;75;2020-05-05T09:36:54
05.04.2020;76;2020-05-05T09:36:54
06.04.2020;76;2020-05-05T09:36:54
07.04.2020;79;2020-05-05T09:36:54
08.04.2020;79;2020-05-05T09:36:54
09.04.2020;79;2020-05-05T09:36:54
10.04.2020;79;2020-05-05T09:36:54
11.04.2020;78;2020-05-05T09:36:54
12.04.2020;78;2020-05-05T09:36:54
13.04.2020;81;2020-05-05T09:36:54
14.04.2020;80;2020-05-05T09:36:54
15.04.2020;80;2020-05-05T09:36:54
16.04.2020;79;2020-05-05T09:36:54
17.04.2020;81;2020-05-05T09:36:54
18.04.2020;82;2020-05-05T09:36:54
19.04.2020;84;2020-05-05T09:36:54
20.04.2020;83;2020-05-05T09:36:54
21.04.2020;83;2020-05-05T09:36:54
22.04.2020;86;2020-05-05T09:36:54
23.04.2020;85;2020-05-05T09:36:54
24.04.2020;87;2020-05-05T09:36:54
25.04.2020;88;2020-05-05T09:36:54
26.04.2020;88;2020-05-05T09:36:54
27.04.2020;88;2020-05-05T09:36:54
28.04.2020;89;2020-05-05T09:36:54
29.04.2020;89;2020-05-05T09:36:54
30.04.2020;89;2020-05-05T09:36:54
01.05.2020;89;2020-05-05T09:36:54
02.05.2020;90;2020-05-05T09:36:54
03.05.2020;90;2020-05-05T09:36:54
04.05.2020;90;2020-05-05T09:36:54
05.05.2020;91;2020-05-05T09:36:54
