time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-05-17T11:03:33
02.04.2020;77;2020-05-17T11:03:33
03.04.2020;74;2020-05-17T11:03:33
04.04.2020;75;2020-05-17T11:03:33
05.04.2020;76;2020-05-17T11:03:33
06.04.2020;76;2020-05-17T11:03:33
07.04.2020;79;2020-05-17T11:03:33
08.04.2020;79;2020-05-17T11:03:33
09.04.2020;79;2020-05-17T11:03:33
10.04.2020;79;2020-05-17T11:03:33
11.04.2020;78;2020-05-17T11:03:33
12.04.2020;78;2020-05-17T11:03:33
13.04.2020;81;2020-05-17T11:03:33
14.04.2020;80;2020-05-17T11:03:33
15.04.2020;80;2020-05-17T11:03:33
16.04.2020;79;2020-05-17T11:03:33
17.04.2020;81;2020-05-17T11:03:33
18.04.2020;82;2020-05-17T11:03:33
19.04.2020;84;2020-05-17T11:03:33
20.04.2020;83;2020-05-17T11:03:33
21.04.2020;83;2020-05-17T11:03:33
22.04.2020;86;2020-05-17T11:03:33
23.04.2020;85;2020-05-17T11:03:33
24.04.2020;87;2020-05-17T11:03:33
25.04.2020;88;2020-05-17T11:03:33
26.04.2020;88;2020-05-17T11:03:33
27.04.2020;88;2020-05-17T11:03:33
28.04.2020;89;2020-05-17T11:03:33
29.04.2020;89;2020-05-17T11:03:33
30.04.2020;89;2020-05-17T11:03:33
01.05.2020;89;2020-05-17T11:03:33
02.05.2020;90;2020-05-17T11:03:33
03.05.2020;90;2020-05-17T11:03:33
04.05.2020;90;2020-05-17T11:03:33
05.05.2020;91;2020-05-17T11:03:33
06.05.2020;91;2020-05-17T11:03:33
07.05.2020;92;2020-05-17T11:03:33
08.05.2020;92;2020-05-17T11:03:33
09.05.2020;93;2020-05-17T11:03:33
10.05.2020;93;2020-05-17T11:03:33
11.05.2020;94;2020-05-17T11:03:33
12.05.2020;95;2020-05-17T11:03:33
13.05.2020;95;2020-05-17T11:03:33
14.05.2020;95;2020-05-17T11:03:33
15.05.2020;95;2020-05-17T11:03:33
16.05.2020;94;2020-05-17T11:03:33
17.05.2020;95;2020-05-17T11:03:33
