time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-04-26T09:11:29
02.04.2020;23;2020-04-26T09:11:29
03.04.2020;26;2020-04-26T09:11:29
04.04.2020;25;2020-04-26T09:11:29
05.04.2020;24;2020-04-26T09:11:29
06.04.2020;24;2020-04-26T09:11:29
07.04.2020;21;2020-04-26T09:11:29
08.04.2020;21;2020-04-26T09:11:29
09.04.2020;21;2020-04-26T09:11:29
10.04.2020;21;2020-04-26T09:11:29
11.04.2020;22;2020-04-26T09:11:29
12.04.2020;22;2020-04-26T09:11:29
13.04.2020;19;2020-04-26T09:11:29
14.04.2020;20;2020-04-26T09:11:29
15.04.2020;20;2020-04-26T09:11:29
16.04.2020;21;2020-04-26T09:11:29
17.04.2020;19;2020-04-26T09:11:29
18.04.2020;18;2020-04-26T09:11:29
19.04.2020;16;2020-04-26T09:11:29
20.04.2020;17;2020-04-26T09:11:29
21.04.2020;17;2020-04-26T09:11:29
22.04.2020;14;2020-04-26T09:11:29
23.04.2020;15;2020-04-26T09:11:29
24.04.2020;13;2020-04-26T09:11:29
25.04.2020;12;2020-04-26T09:11:29
26.04.2020;12;2020-04-26T09:11:29
