time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-05-02T09:06:59
02.04.2020;23;2020-05-02T09:06:59
03.04.2020;26;2020-05-02T09:06:59
04.04.2020;25;2020-05-02T09:06:59
05.04.2020;24;2020-05-02T09:06:59
06.04.2020;24;2020-05-02T09:06:59
07.04.2020;21;2020-05-02T09:06:59
08.04.2020;21;2020-05-02T09:06:59
09.04.2020;21;2020-05-02T09:06:59
10.04.2020;21;2020-05-02T09:06:59
11.04.2020;22;2020-05-02T09:06:59
12.04.2020;22;2020-05-02T09:06:59
13.04.2020;19;2020-05-02T09:06:59
14.04.2020;20;2020-05-02T09:06:59
15.04.2020;20;2020-05-02T09:06:59
16.04.2020;21;2020-05-02T09:06:59
17.04.2020;19;2020-05-02T09:06:59
18.04.2020;18;2020-05-02T09:06:59
19.04.2020;16;2020-05-02T09:06:59
20.04.2020;17;2020-05-02T09:06:59
21.04.2020;17;2020-05-02T09:06:59
22.04.2020;14;2020-05-02T09:06:59
23.04.2020;15;2020-05-02T09:06:59
24.04.2020;13;2020-05-02T09:06:59
25.04.2020;12;2020-05-02T09:06:59
26.04.2020;12;2020-05-02T09:06:59
27.04.2020;12;2020-05-02T09:06:59
28.04.2020;11;2020-05-02T09:06:59
29.04.2020;11;2020-05-02T09:06:59
30.04.2020;11;2020-05-02T09:06:59
01.05.2020;11;2020-05-02T09:06:59
02.05.2020;10;2020-05-02T09:06:59
